geogname1,type,loss,standard_deviation,exposure_value
Niassa,1_analytic_mean,7448.436218,11666.531436,73969.703125
Cabo Delgado,1_analytic_mean,9191.962166,15925.409745,141600.609375
Nampula,1_analytic_mean,14449.231339,27396.897752,287370.625
Maputo,1_analytic_mean,13246.604411,34158.937409,398752.9375
Tete,1_analytic_mean,15434.799918,23404.460094,125203.65625
Zambezia,1_analytic_mean,25702.631596,37610.958919,250966.71875
Manica,1_analytic_mean,7389.19197,13249.356173,108689.304688
Sofala,1_analytic_mean,30998.040833,59198.432095,404196.09375
Gaza,1_analytic_mean,26421.713917,66420.371676,351032.0625
Inhambane,1_analytic_mean,21776.161173,40496.912414,331751.03125
Cidade de Maputo,1_analytic_mean,5451.576419,15524.647273,211989.671875
Niassa,2_sample_mean,7448.436218,11666.531436,73969.703125
Cabo Delgado,2_sample_mean,9191.962166,15925.409745,141600.609375
Nampula,2_sample_mean,14449.231339,27396.897752,287370.625
Maputo,2_sample_mean,13246.604411,34158.937409,398752.9375
Tete,2_sample_mean,15434.799918,23404.460094,125203.65625
Zambezia,2_sample_mean,25702.631596,37610.958919,250966.71875
Manica,2_sample_mean,7389.19197,13249.356173,108689.304688
Sofala,2_sample_mean,30998.040833,59198.432095,404196.09375
Gaza,2_sample_mean,26421.713917,66420.371676,351032.0625
Inhambane,2_sample_mean,21776.161173,40496.912414,331751.03125
Cidade de Maputo,2_sample_mean,5451.576419,15524.647273,211989.671875
